일순환량,사료종류,사료급이량,일평균폐사,백신접종여부,수온,전장(cm),체장(cm),어체중(g),Condition factor,심장질환,신장질환,비장질환,간장질환,복수,빈혈,궤양,안구질환,척추만곡,아가미부식,림포,탈장,기타,임상증상유무,Trichodina sp.,Scuticocilliates,ameoba,gyrodactylus,기생충유무,S. parauberis,L. garvieae,E. piscicida,P. damselae,V. ichthyoenteri,V. scophthalmi,세균감염유무,ALP,T P,PHOS,Wgc1,Wgc2,Wgr1,Wgr2,Wgr6,Wgp2,Wgi3,Wbkr1,Wbkr2-1,Wbkr2-2,Wbkr5,Wbkr6,Wbki3-1,Wbki3-2,Whkr4,Whkr6,Whkr7,Whkp2,Whki2-1,Whki2-2,Wlc1,Wlr1,Wlp1,Wlr2-1,Wlr2-2,Wlr4,Wlr6,Wlr8,Wli3-1,Wli3-2,Wli6,Wsr5,Wsr6,Wsi2,Wsi3-1,Whr7,Whi3,Whi6-1,Whi6-2,Whi6-3,결과
20,0,0.0075,30,0,12.44,36.5,30.7,528.8,1.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,79,5.7,9.2,0,0,0,0,0,0,4,0,2,2,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,2
20,0,0.0075,30,0,12.44,38.2,28,515.4,2.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5.4,8.2,0,0,0,0,0,0,0,0,2,2,4,0,8,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,2
20,0,0.0075,30,0,12.44,35,29.8,432.3,1.634,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,95,4.7,8.1,0,0,4,0,0,0,8,0,0,2,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8,3
20,0,0.0075,30,0,12.44,37.3,31.1,573.4,1.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,77,5.7,10.3,0,0,0,0,0,4,4,0,0,2,0,0,8,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,4,2
20,0,0.0075,30,0,12.44,38.2,31.8,660.8,2.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5.9,9.2,0,0,0,0,0,4,4,0,0,0,0,6,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2
20,0,0.0075,30,0,12.44,36,29.9,314.4,1.176,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,32,4.6,8.7,0,0,0,0,0,8,0,0,2,0,0,0,8,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,3
20,0,0.0075,30,0,12.44,39,32.4,352.2,1.036,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,82,4.9,10.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,2
20,0,0.0075,30,0,12.44,34.5,29,451.8,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6.1,10.6,0,0,4,0,0,0,8,0,0,2,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
20,0,0.0075,30,0,12.44,37,31.8,605.2,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5.3,10.5,0,0,4,0,0,0,4,0,2,2,0,0,8,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,2
20,0,0.0075,30,0,12.44,35.7,29.4,571,2.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,66,5.9,12.7,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,2
